network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
barabasi_albert,34,162,0.89,0.15730337078651685,0.0,0,2.9418817123123353
barabasi_albert,34,163,0.98,0.29591836734693877,0.0,0,3.0818817123123354
barabasi_albert,34,164,0.83,0.1686746987951807,0.0,0,3.0818817123123354
barabasi_albert,34,165,1.0,0.66,0.66,100,3.0818817123123354
barabasi_albert,34,166,1.0,0.48,0.0,0,3.321881712312335
barabasi_albert,34,167,1.0,0.61,0.0,0,3.321881712312335
barabasi_albert,34,168,0.98,0.5816326530612245,0.0,0,3.591881712312335
barabasi_albert,34,169,0.85,0.17647058823529413,0.17647058823529413,85,3.5320064333450563
barabasi_albert,34,170,0.96,0.21875,0.0,0,3.6320064333450564
barabasi_albert,34,171,0.83,0.1686746987951807,0.0,0,3.6970064333450563
barabasi_albert,34,172,1.0,0.66,0.66,100,3.2340336324267662
barabasi_albert,34,173,0.98,0.5408163265306123,0.0,0,3.4840336324267662
barabasi_albert,34,174,0.83,0.1686746987951807,0.1686746987951807,83,3.4840336324267662
barabasi_albert,34,175,0.97,0.27835051546391754,0.0,0,3.6040336324267663
barabasi_albert,34,176,0.98,0.3673469387755102,0.0,0,3.6040336324267663
barabasi_albert,34,177,0.91,0.2087912087912088,0.0,0,3.6040336324267663
barabasi_albert,34,178,1.0,0.51,0.0,0,3.6040336324267663
barabasi_albert,34,179,0.83,0.1686746987951807,0.0,0,3.6690336324267663
barabasi_albert,34,180,0.98,0.3163265306122449,0.0,0,3.819033632426766
barabasi_albert,34,181,1.0,0.49,0.49,100,3.4167054347843906
barabasi_albert,34,182,1.0,0.48,0.0,0,3.656705434784391
barabasi_albert,34,183,1.0,0.63,0.63,100,3.244658023125942
barabasi_albert,34,184,1.0,0.52,0.0,0,3.244658023125942
barabasi_albert,34,185,1.0,0.51,0.51,100,3.005770509522468
barabasi_albert,34,186,0.86,0.12790697674418605,0.0,0,3.005770509522468
barabasi_albert,34,187,0.97,0.27835051546391754,0.27835051546391754,97,2.926520200750543
barabasi_albert,34,188,1.0,0.64,0.0,0,3.2265202007505436
